cx,cy,cyaw
-33.9455795288086,153.516052246094,3.01972394515238
-34.0451932140618,153.528248337928,3.01984733547175
-34.1448070252167,153.540419494071,3.02021752783405
-34.2444210881749,153.552540778834,3.02083458623554
-34.3440355288381,153.564587256525,3.02169861661532
-34.443650473108,153.576533991455,3.02280976577137
-34.5432660468863,153.588356047932,3.02416821983938
-34.6428823760745,153.600028490266,3.0257742023306
-34.7424995865745,153.611526382767,3.02762797172422
-34.8421178042878,153.622824789745,3.0297298186089
-34.9417371551161,153.633898775508,3.03208006236715
-35.0413577649612,153.644723404367,3.03467904739591
-35.1409797597246,153.65527374063,3.03752713885613
-35.240603265308,153.665524848608,3.04062471794359
-35.3402284076131,153.67545179261,3.04397217667356
-35.4398553125417,153.685029636946,3.04756991217168
-35.5394841059952,153.694233445925,3.05141832046375
-35.6391149138755,153.703038283856,3.0555177897582
-35.7387478620842,153.711419215049,3.05986869321536
-35.8383830765229,153.719351303814,3.06447138119942
-35.9380206830933,153.726809614461,3.0693261730103
-36.0376608076971,153.733769211298,3.07443334809483
-36.137303576236,153.740205158635,3.079793136739
-36.2369491146116,153.746092520782,3.08540571024603
-36.3365975487257,153.751406362049,3.09127117060822
-36.4362490044798,153.756121746744,3.09738953968452
-36.5359036077756,153.760213739178,3.10376074790008
-36.6355614845149,153.76365740366,3.11038462248885
-36.7352227605992,153.7664278045,3.11726087530577
-36.8348875619303,153.768500006006,3.12438909024096
-36.934556004342,153.769849715351,3.13172572237598
-37.0342279073408,153.770471561221,3.1389529170286
-37.1339027529156,153.770381723951,-3.1371794410913
-37.2335800047056,153.769597555558,-3.13030130547507
-37.3332591263502,153.768136408058,-3.12359845584218
-37.4329395814885,153.766015633468,-3.11707127552664
-37.53262083376,153.763252583805,-3.11072006469617
-37.6323023468039,153.759864611084,-3.10454504630666
-37.7319835842595,153.755869067323,-3.09854637195393
-37.8316640097661,153.751283304537,-3.09272412760741
-37.9313430869629,153.746124674745,-3.08707833921189
-38.0310202794893,153.740410529962,-3.08160897814585
-38.1306950509846,153.734158222205,-3.07631596652631
-38.2303668650881,153.72738510349,-3.07119918235172
-38.330035185439,153.720108525834,-3.06625846447638
-38.4296994756766,153.712345841253,-3.06149361741054
-38.5293591994402,153.704114401765,-3.05690441594234
-38.6290138203692,153.695431559386,-3.05249060957847
-38.7286628021028,153.686314666131,-3.04825192680156
-38.8283056082802,153.676781074019,-3.04418807914326
-38.9279417025409,153.666848135065,-3.04029876507294
-39.0275705485241,153.656533201286,-3.03658367370234
-39.127191609869,153.645853624699,-3.03304248830746
-39.226804350215,153.634826757319,-3.02967488966929
-39.3264082332014,153.623469951165,-3.02648055923545
-39.4260027224674,153.611800558252,-3.02345918210535
-39.5255872816524,153.599835930596,-3.0206104498415
-39.6251613743955,153.587593420215,-3.01793406310997
-39.7247244643363,153.575090379125,-3.01542973415319
-39.8242760151138,153.562344159343,-3.01309718909816
-39.9238154903674,153.549372112885,-3.01093617010344
-40.0233423537365,153.536191591768,-3.00894643734806
-40.1228560688602,153.522819948008,-3.00712777086549
-40.2223560993779,153.509274533621,-3.00547997222574
-40.3218419089289,153.495572700626,-3.00400286606849
-40.4213129611524,153.481731801037,-3.00269630148988
-40.5207687196878,153.467769186872,-3.0015601532856
-40.6202086481744,153.453702210147,-3.00059432305232
-40.7196322102513,153.439548222879,-2.99979874014973
-40.8190388695581,153.425324577084,-2.99917336252465
-40.9184280897338,153.411048624779,-2.99871817739871
-41.0177993344178,153.396737717981,-2.99843320182079
-41.1171520857065,153.382408883966,-2.998299048254
-41.2164862703014,153.368071327462,-2.99819448217422
-41.3158022709676,153.353726229046,-2.99809849970571
-41.4151004912194,153.339374404225,-2.99801110596844
-41.5143813345712,153.325016668509,-2.99793230593965
-41.6136452045372,153.310653837406,-2.9978621044538
-41.7128925046317,153.296286726424,-2.99780050620244
-41.8121236383689,153.281916151072,-2.99774751573417
-41.9113390092633,153.267542926858,-2.99770313745452
-42.010539020829,153.253167869291,-2.99766737562583
-42.1097240765804,153.238791793879,-2.99764023436711
-42.2088945800317,153.22441551613,-2.99762171765394
-42.3080509346972,153.210039851553,-2.99761182931827
-42.4071935440913,153.195665615656,-2.99761057304826
-42.5063228117281,153.181293623949,-2.99761795238812
-42.6054391411221,153.166924691938,-2.9976339707379
-42.7045429357875,153.152559635133,-2.99765863135327
-42.8036345992385,153.138199269042,-2.99769193734532
-42.9027145349895,153.123844409173,-2.99773389168031
-43.0017831465548,153.109495871036,-2.99778449717942
-43.1008408374486,153.095154470138,-2.99784375651851
-43.1998880111853,153.080821021987,-2.99791167222781
-43.298925071279,153.066496342093,-2.99798824669164
-43.3979524212442,153.052181245963,-2.99807348214813
-43.4969704645951,153.037876549107,-2.99816738068888
-43.5959796048459,153.023583067032,-2.99826994425864
-43.6949802455111,153.009301615247,-2.99838117465495
-43.7939727901048,152.99503300926,-2.99850107352781
-43.8929576421414,152.98077806458,-2.99862964237928
-43.9919352051351,152.966537596716,-2.99876688256311
-44.0909058826003,152.952312421175,-2.99891279528436
-44.1898700780511,152.938103353466,-2.99906738159895
-44.288828195002,152.923911209097,-2.99923064241326
-44.3877806369672,152.909736803578,-2.99940257848368
-44.486727807461,152.895580952416,-2.99958319041619
-44.5856701099977,152.88144447112,-2.99977247866583
-44.6846079480915,152.867328175198,-2.9999704435363
-44.7835417252568,152.853232880159,-3.00017708517941
-44.8824718450078,152.839159401511,-3.00039240359459
-44.9813987108589,152.825108554762,-3.00061639862839
-45.0803227263243,152.811081155422,-3.00084906997393
-45.1792442949183,152.797078018998,-3.00109041717036
-45.2781638201552,152.783099960999,-3.00134043960231
-45.3770817055494,152.769147796933,-3.00159913649931
-45.4759983546149,152.755222342308,-3.00186650693522
-45.5749141708663,152.741324412634,-3.00214254982762
-45.6738295578177,152.727454823419,-3.00242726393722
-45.7727449189835,152.713614390171,-3.00272064786721
-45.8716606578779,152.699803928398,-3.00302270006268
-45.9705771780152,152.686024253608,-3.0033334188099
-46.0694948829098,152.672276181312,-3.00365280223574
-46.1684141760758,152.658560527016,-3.00398084830694
-46.2673354610277,152.644878106229,-3.00431755482948
-46.3662591412796,152.631229734459,-3.00466291944783
-46.4651856203459,152.617616227216,-3.00501693964431
-46.5641153017408,152.604038400007,-3.00537961273832
-46.6630485889788,152.590497068342,-3.00575093588563
-46.7619858855739,152.576993047727,-3.00613090607765
-46.8609275950406,152.563527153672,-3.00651952014069
-46.9598741208931,152.550100201686,-3.00691677473514
-47.0588258666457,152.536713007276,-3.00732266635479
-47.1577832358126,152.523366385951,-3.00773719132596
-47.2567466319083,152.51006115322,-3.00816034580677
-47.355716458447,152.496798124591,-3.00859212578629
-47.4546931189429,152.483578115572,-3.00903252708376
-47.5536770169103,152.470401941671,-3.00948154534776
-47.6526685558636,152.457270418398,-3.00993917605535
-47.751668139317,152.444184361261,-3.01040541451126
-47.8506761707849,152.431144585768,-3.01088025584704
-47.9496930537814,152.418151907427,-3.01136369502016
-48.048719191821,152.405207141747,-3.01185572681317
-48.1477549884178,152.392311104237,-3.01235634583282
-48.2468008470862,152.379464610405,-3.01286554650917
-48.3458571324066,152.366668371421,-3.01337904326968
-48.4449238824216,152.353922223377,-3.01388676101954
-48.5440009721288,152.341225565426,-3.01438827951956
-48.6430882753229,152.328577793497,-3.01488359998008
-48.7421856657988,152.315978303519,-3.01537272361159
-48.8412930173513,152.303426491421,-3.01585565162421
-48.9404102037751,152.290921753132,-3.01633238522709
-49.039537098865,152.27846348458,-3.01680292562788
-49.1386735764157,152.266051081696,-3.01726727403219
-49.2378195102222,152.253683940408,-3.01772543164305
-49.3369747740791,152.241361456645,-3.01817739966035
-49.4361392417813,152.229083026336,-3.01862317928038
-49.5353127871236,152.21684804541,-3.01906277169525
-49.6344952839006,152.204655909796,-3.01949617809244
-49.7336866059073,152.192506015424,-3.01992339965425
-49.8328866269383,152.180397758222,-3.02034443755737
-49.9320952207885,152.168330534119,-3.02075929297232
-50.0313122612527,152.156303739045,-3.02116796706304
-50.1305376221257,152.144316768928,-3.02157046098639
-50.2297711772021,152.132369019698,-3.02196677589168
-50.3290128002769,152.120459887283,-3.02235691292024
-50.4282623651448,152.108588767612,-3.02274087320494
-50.5275197456006,152.096755056615,-3.02311865786978
-50.6267848154391,152.084958150221,-3.02349026802947
-50.726057448455,152.073197444358,-3.02385570478893
-50.8253375184432,152.061472334956,-3.02421496924296
-50.9246248991984,152.049782217944,-3.02456806247578
-51.0239194645154,152.038126489251,-3.02491498556064
-51.123221088189,152.026504544805,-3.02525573955941
-51.222529644014,152.014915780536,-3.02559032552222
-51.3218450057851,152.003359592373,-3.02591874448704
-51.4211670472973,151.991835376245,-3.02624099747933
-51.5204956423451,151.980342528081,-3.02655708551168
-51.6198306647235,151.96888044381,-3.02686700958341
-51.7191719882272,151.957448519361,-3.02717077068028
-51.818519486651,151.946046150663,-3.02746836977406
-51.9178730337897,151.934672733646,-3.02775980782228
-52.017232503438,151.923327664237,-3.02804508576782
-52.1165977693908,151.912010338366,-3.02832420453864
-52.2159687054428,151.900720151963,-3.02859716504745
-52.3153451853889,151.889456500956,-3.02886396819136
-52.4147270830238,151.878218781275,-3.02912461485164
-52.5141142721422,151.867006388847,-3.02937910589336
-52.6135066265391,151.855818719604,-3.02962744216516
-52.7129040200091,151.844655169472,-3.02986962449892
-52.812306326347,151.833515134382,-3.03010565370951
-52.9117134193477,151.822398010263,-3.03033553059451
-53.0111251728059,151.811303193043,-3.03055925593394
-53.1105414605164,151.800230078652,-3.03077683049005
-53.209962156274,151.789178063018,-3.030988255007
-53.3093871338734,151.778146542071,-3.03119353021069
-53.4088162671095,151.76713491174,-3.03139265680847
-53.5082494297771,151.756142567953,-3.03158563548895
-53.6076864956709,151.74516890664,-3.03177246692177
-53.7071273385857,151.73421332373,-3.03195315175737
-53.8065718323163,151.723275215152,-3.03212769062681
-53.9060198506575,151.712353976835,-3.03229608414156
-54.0054712674041,151.701449004708,-3.0324583328933
-54.1049259563508,151.6905596947,-3.03261443745373
-54.2043837912925,151.67968544274,-3.03276439837441
-54.3038446460238,151.668825644756,-3.03290821618659
-54.4033083943397,151.657979696679,-3.03304589140101
-54.5027749100349,151.647146994438,-3.03317742450778
-54.6022440669042,151.63632693396,-3.03330281597622
-54.7017157387423,151.625518911175,-3.03342206625469
-54.8011897993441,151.614722322013,-3.03353517577048
-54.9006661225043,151.603936562402,-3.03364214492968
-55.0001445820178,151.593161028272,-3.03374297411703
-55.0996250516792,151.58239511555,-3.03383766369583
-55.1991074052835,151.571638220168,-3.0339262140078
-55.2985915166253,151.560889738052,-3.03400862537301
-55.3980772594995,151.550149065133,-3.03408489808975
-55.4975645077008,151.53941559734,-3.03415503243448
-55.5970531350241,151.528688730601,-3.0342190286617
-55.6965430152641,151.517967860846,-3.03427688700391
-55.7960340222156,151.507252384004,-3.03432860767149
-55.8955260296733,151.496541696003,-3.03437419085272
-55.9950189114322,151.485835192773,-3.03441363671365
-56.0945125412869,151.475132270243,-3.03444694539805
-56.1940067930322,151.464432324341,-3.03447411702745
-56.293501540463,151.453734750998,-3.03449515170098
-56.392996657374,151.443038946141,-3.03451004949545
-56.49249201756,151.4323443057,-3.03451881046526
