cx,cy,cyaw
-72.0289611816407,136.929992675781,-1.43201808464923
-72.0151280436509,136.830946295601,-1.43205590278775
-72.0013024176212,136.731899015647,-1.43216935753807
-71.9874918155117,136.632849936145,-1.43235844989809
-71.9737037492825,136.533798157323,-1.43262318150932
-71.9599457308938,136.434742779406,-1.43296355462451
-71.9462252723057,136.335682902622,-1.43337957206223
-71.9325498854782,136.236617627195,-1.43387123714849
-71.9189270823714,136.137546053353,-1.43443855364543
-71.9053643749456,136.038467281323,-1.4350815256669
-71.8918692751607,135.939380411329,-1.43580015758117
-71.8784492949769,135.8402845436,-1.43659445390055
-71.8651119463542,135.74117877836,-1.43746441915799
-71.851864741253,135.642062215838,-1.43841005777072
-71.8387151916331,135.542933956258,-1.43943137389082
-71.8256708094547,135.443793099847,-1.44052837124273
-71.812739106678,135.344638746833,-1.44170105294779
-71.799927595263,135.24546999744,-1.44294942133566
-71.7872437871699,135.146285951896,-1.44427347774285
-71.7746951683515,135.047085713357,-1.44566921910239
-71.7622834298574,134.947869037965,-1.44699976189613
-71.7499971925464,134.848637154642,-1.44819784612368
-71.737823286735,134.749391494075,-1.44926346023039
-71.7257485427396,134.650133486947,-1.45019659622467
-71.7137597908768,134.550864563947,-1.45099724911726
-71.701843861463,134.451586155757,-1.45166541643001
-71.6899875848146,134.352299693066,-1.45220109777429
-71.6781777912481,134.253006606558,-1.45260429449914
-71.66640131108,134.153708326918,-1.45287500940907
-71.6546449746268,134.054406284832,-1.45301324655168
-71.6428956122048,133.955101910987,-1.45301901107496
-71.6311400541306,133.855796636067,-1.45289230915439
-71.6193651307207,133.756491890759,-1.45263314798973
-71.6075576722913,133.657189105747,-1.45224153587154
-71.5957045091592,133.557889711717,-1.45171748231737
-71.5837924716407,133.458595139356,-1.45106099827754
-71.5718083900522,133.359306819349,-1.45027209641062
-71.5597390947103,133.26002618238,-1.4493507914283
-71.5475714159313,133.160754659137,-1.44829710050978
-71.5352921840319,133.061493680304,-1.44711104378552
-71.5228882293283,132.962244676568,-1.44579264489013
-71.5103478761873,132.86300892965,-1.44441987071605
-71.4976839181055,132.763785281616,-1.44334036068195
-71.4849291281601,132.664570582492,-1.44259574885009
-71.472116863988,132.565361624023,-1.44218599061781
-71.4592804832255,132.466155197953,-1.44211106160723
-71.4464533435093,132.366948096026,-1.44237095903991
-71.433668802476,132.267737109988,-1.44296570198847
-71.4209602177621,132.168519031583,-1.4438953305056
-71.4083609470044,132.069290652555,-1.44515990362942
-71.3959043478393,131.97004876465,-1.44675949626349
-71.3836237779035,131.870790159611,-1.44869419492907
-71.3715525948335,131.771511629183,-1.45096409238637
-71.359724156266,131.672209965111,-1.45356928112191
-71.3481718198374,131.572881959139,-1.45650984569895
-71.3369289431845,131.473524403012,-1.45978585396906
-71.3260288839439,131.374134088475,-1.46339734714452
-71.315504999752,131.274707807271,-1.46734432873314
-71.3053906482456,131.175242351146,-1.47162675234076
-71.2957191870611,131.075734511845,-1.47624450835009
