cx,cy,cyaw
-33.4869346618652,158.806930541992,-3.00168972073188
-33.5859663705133,158.79298968651,-3.00184053281942
-33.6850017693124,158.77907877382,-3.00229297373053
-33.7840445484138,158.765227746716,-3.00304705699938
-33.8830983979685,158.751466547992,-3.00410280381177
-33.9821670081278,158.737825120439,-3.00546024094792
-34.0812540690426,158.724333406852,-3.00711939790125
-34.1803632708643,158.711021350022,-3.00908030317246
-34.2794983037437,158.697918892744,-3.01134297973813
-34.3786628578322,158.68505597781,-3.01390743969368
-34.4778606232808,158.672462548014,-3.01677367807081
-34.5770952414379,158.660168159659,-3.01990895978195
-34.6763678743395,158.64818273438,-3.02293947617711
-34.7756760790995,158.636487644984,-3.02575941362369
-34.875017128972,158.62506201628,-3.02836875720308
-34.9743882972111,158.613884973075,-3.03076750692611
-35.073786857071,158.602935640178,-3.03295567426101
-35.1732100818057,158.592193142398,-3.03493327894147
-35.2726552446696,158.581636604542,-3.03670034605548
-35.3721196189166,158.57124515142,-3.03825690341527
-35.471600477801,158.560997907839,-3.0396029792083
-35.5710950945768,158.550873998609,-3.04073859992919
-35.6706007424983,158.540852548537,-3.04166378859202
-35.7701146948196,158.530912682432,-3.04237856322282
-35.8696342247948,158.521033525102,-3.04288293563153
-35.9691568183605,158.51119548003,-3.04321942578796
-36.0686810685534,158.501385606732,-3.04344722715632
-36.1682059274956,158.49159312359,-3.04356672611717
-36.2677303474965,158.481807250113,-3.04357791907264
-36.3672532808653,158.472017205811,-3.04348080251729
-36.4667736799111,158.46221221019,-3.04327537303416
-36.5662904969431,158.452381482759,-3.04296162732899
-36.6658026842707,158.442514243026,-3.04253956230249
-36.7653091942029,158.4325997105,-3.04200917516085
-36.8648089790489,158.422627104688,-3.04137046356429
-36.9643009911181,158.4125856451,-3.04062342581381
-37.0637841827196,158.402464551243,-3.03976806107606
-37.1632575061626,158.392253042625,-3.03880436964637
-37.2627199137563,158.381940338755,-3.03773235324988
-37.3621703578099,158.371515659141,-3.03655201538078
-37.4616077908236,158.3609682251,-3.0352641117961
-37.5610317763206,158.350293047947,-3.03402942710356
