MAP_x,MAP_y,UTM_x,UTM_y
555.1433715820312,27.775911331176758,935831.9002288014,1916041.8110702112
435.4105224609375,35.03129196166992,935785.2349284356,1915931.642197461
461.0012048339844,-11.759423637390137,935838.3923194056,1915941.9973418403
464.6536865234375,-56.12670135498047,935881.6640271111,1915930.893457912
338.5016180419922,-52.78602203369141,935840.4942533028,1915813.2377134075
211.1981658935547,-49.64162063598633,935799.3761124946,1915692.0425463927
144.1709747314453,-85.21863555908203,935814.0056078493,1915618.1615853095
162.73193359375,6.002438068389893,935734.8259329945,1915659.463334831
104.4595718383789,-30.879911422729492,935753.6234933179,1915594.7811682983
17.132101402282714,-4.03322401046753,935706.0295770025,1915515.5076435828
