MAP,UTM
"(44.7440071105957, -22.97344970703125)","(935792.3273586094, 1915571.9181262662)"
"(57.66763687133789, 15.54519271850586)","(935814.0398102237, 1915606.4008861256)"
"(68.47551544189453, 63.56060089111328)","(935835.8612522263, 1915650.4362249952)"
"(-16.925106048583984, 96.37699127197266)","(935760.2116881593, 1915702.183413668)"
"(-48.61351013183594, 12.82844352722168)","(935710.2458660271, 1915628.1536590266)"
"(7.875662326812744, 28.958160400390625)","(935769.1164516942, 1915631.3861677346)"
