MAP_x,MAP_y,UTM_x,UTM_y
18.815176010131836,-8.675734519958496,935711.187234045,1915517.1767102652
71.23662567138672,-21.344215393066406,935736.1062640792,1915564.90402885
84.67321014404297,-24.835121154785156,935742.7191886201,1915577.0686983033
134.60205078125,-37.719173431396484,935767.3868676168,1915622.1352910069
160.64097595214844,-44.05931854248047,935780.1725503053,1915645.769082662
174.37672424316406,-46.8658332824707,935786.4323418251,1915658.169478562
188.37928771972656,-50.15969467163086,935793.5381402688,1915671.0071940022
201.62301635742188,-52.998878479003906,935799.9982477728,1915682.9289921075
216.84310913085938,-56.045875549316406,935807.1983907348,1915696.5093452265
231.10853576660156,-59.61597442626953,935814.7741372705,1915709.3323871868
