MAP_x,MAP_y,UTM_x,UTM_y
555.1433715820312,27.775911331176758,935831.9002288014,1916041.8110702112
435.4105224609375,35.03129196166992,935785.2349284356,1915931.642197461
461.0012048339844,-11.759423637390137,935838.3923194056,1915941.9973418403
464.6536865234375,-56.12670135498047,935881.6640271111,1915930.893457912
338.5016180419922,-52.78602203369141,935840.4942533028,1915813.2377134075
211.1981658935547,-49.64162063598633,935799.3761124946,1915692.0425463927
144.1709747314453,-85.21863555908203,935814.0056078493,1915618.1615853095
162.73193359375,6.002438068389893,935734.8259329945,1915659.463334831
104.4595718383789,-30.879911422729492,935753.6234933179,1915594.7811682983
17.132101402282714,-4.03322401046753,935706.0295770025,1915515.5076435828
78.7146987915039,-24.013486862182617,935740.6014889895,1915571.5819212985
112.38037109375,-31.824256896972656,935756.5102386498,1915602.2369253072
144.6336669921875,-61.02217102050781,935792.8203151672,1915624.7364709899
147.81239318847656,-76.19190216064453,935806.9979828155,1915623.9511917066
163.68133544921875,-45.779232025146484,935782.7650044955,1915648.389788617
189.8627471923828,-51.557125091552734,935795.6123543547,1915671.9787519209
159.57412719726562,-18.047794342041016,935754.1235106738,1915650.8058476977
116.16364288330078,-24.578828811645508,935750.5952251856,1915605.910208799
68.38092765808105,-11.818845300674438,935725.9565091718,1915563.4839931978
28.41132038116455,-1.2308358764648437,935706.1279755617,1915527.1896651986
-1.8798390626907349,4.474084854125977,935693.2012011791,1915499.0858781957
