MAP,UTM
"(4.951485633850098, 9.121633529663086)","(952238.8559021528, 1943997.5906348864)"
"(50.159671783447266, 16.569351196289062)","(952282.4780451846, 1943983.2939213214)"
"(55.40330505371094, -49.641634979248046)","(952256.5764822852, 1943922.1215198254)"
"(-11.081011238098144, -68.96293151855468)","(952188.5662703076, 1943935.060860259)"
"(-24.29832649230957, -24.148726654052734)","(952197.5051409351, 1943981.0530319982)"
