MAP_x,MAP_y,UTM_x,UTM_y
8.365137100219727,-5.990604877471924,935706.0578256433,1915507.6190572807
98.79804992675781,-28.347925186157227,935749.692411669,1915589.9517723515
166.91668701171875,-45.31747817993164,935783.0376472007,1915651.5608011617
206.94036865234375,-53.904659271240234,935802.4218240493,1915687.8254208923
253.33970642089844,-63.93114471435547,935825.3065285116,1915729.4886386397
327.34478759765625,-56.91990280151367,935840.4088912843,1915802.0770427731
455.7051696777344,-36.11791229248047,935860.0943508076,1915928.8615995247
449.5045471191406,-62.62189865112305,935883.0192207736,1915914.396291984
378.2132873535156,-89.06243896484375,935885.7835420915,1915838.5536077172
496.4170227050781,-4.244439125061035,935842.2339711369,1915978.0702988752
559.4277954101562,39.469844818115234,935821.3459696034,1916050.046465976
488.2325134277344,68.14903259277344,935771.8871520043,1915992.0887871245
439.9096374511719,32.7151985168457,935789.9635324407,1915935.23398572
322.9603576660156,2.9548747539520264,935781.6483454257,1915815.3744040467
246.93589782714844,-51.260833740234375,935811.8402234297,1915725.8416406752
162.93138122558594,-94.06964111328125,935827.5901771018,1915633.7678279798
192.2979278564453,-87.02099609375,935829.150459494,1915663.8004825956
199.6227569580078,3.5821197032928467,935745.3590916079,1915694.741635715
164.49986267089844,8.121356964111328,935734.211986131,1915661.531662601
99.45853424072266,-53.586997985839844,935768.1809104546,1915585.6607566224
125.0179672241211,17.847270965576172,935711.3044631716,1915627.391103142
58.34904098510742,-11.802128791809082,935723.5851728854,1915553.8386308262
22.218799591064453,-2.7290761470794678,935706.0169130791,1915520.799938158
-8.907959938049316,7.0441575050354,935688.8700676112,1915492.9947743337
-44.74574661254883,31.25688934326172,935656.785808567,1915464.1170545267
-13.203370094299316,-1.7409906387329102,935696.6501777596,1915487.2990029608
