%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
0,0,0,,1.7763568394e-15,-1.42108547152e-14,-4.4408920985e-16,0.0176210392138,0.0538490685439,0.268267566757,0.961676811315
0,1,0,,0.125388203169,0.0453425898627,-0.0168365607082,0.0163418749742,0.05230932142,0.26306627143,0.963220024112
0,2,0,,0.260835826203,0.111124830101,-0.0276481766082,0.0152953190212,0.0533718487796,0.257971590511,0.964555937965
0,3,0,,0.373221605565,0.163542502448,-0.0665132350209,0.0148660242084,0.0533021381556,0.253199933239,0.965830045712
0,4,0,,0.481808453947,0.217126531639,-0.0625268183331,0.0135542154148,0.0545144353501,0.248489057136,0.967004471586
0,5,0,,0.593475792308,0.266446480471,-0.0821703309046,0.0131723205367,0.0561271326582,0.243664958103,0.968144422668
0,6,0,,0.751558353108,0.325750944182,-0.1182072707,0.013754412218,0.0564138571545,0.238054166261,0.969514572759
0,7,0,,0.875568702611,0.380566417889,-0.113071772588,0.0140328532968,0.0570938857508,0.232566905614,0.970801731381
0,8,0,,1.02085136634,0.419611392529,-0.130896976785,0.0130913154428,0.056544377709,0.227074479179,0.972146353033
0,9,0,,1.13054814468,0.477719271782,-0.138152313925,0.0117504378932,0.0584626343859,0.221083235671,0.973430146695
0,10,0,,1.25113988608,0.513179591795,-0.157042728779,0.0111248774076,0.058549052227,0.215867521291,0.974602205434
0,11,0,,1.37524989557,0.56379493484,-0.171225502611,0.0106408428801,0.0591630394555,0.210289452339,0.975789348917
0,12,0,,1.52747615363,0.607169149427,-0.191333973125,0.0095568635706,0.0575395757208,0.205412052898,0.976935899693
0,13,0,,1.66653166772,0.635110084615,-0.202616667781,0.00908647444317,0.0571011360894,0.200543089777,0.977977180399
0,14,0,,1.79498486038,0.67601610999,-0.240718766049,0.00930614954617,0.0586614354685,0.196100983619,0.978783242497
0,15,0,,1.89992373049,0.696916613948,-0.254237539962,0.00871859376287,0.0594882145257,0.192316381666,0.979489432203
0,16,0,,2.00052710781,0.749046327364,-0.27283158697,0.00828086840377,0.0594125825743,0.188535591911,0.980232575889
0,17,0,,2.12457284421,0.803539005083,-0.289119245834,0.00786291551557,0.0605658453031,0.184261478704,0.980977910255
0,18,0,,2.26675827833,0.817776503223,-0.301328377127,0.00666920231096,0.0608704453547,0.180237400322,0.981715228642
0,19,0,,2.39704264305,0.849788279587,-0.3302440656,0.00564251970164,0.0620359586741,0.176150198361,0.98239035491
0,20,0,,2.5267934171,0.897991260028,-0.345736896203,0.00570051062838,0.062642406059,0.17183069701,0.983116292565
0,21,0,,2.66125253944,0.927829119055,-0.367666619752,0.00471951068078,0.062949964666,0.167410927685,0.983864121441
0,22,0,,2.78650376462,0.94665729993,-0.389459706359,0.00288394940989,0.0641573539456,0.163134970311,0.98451129919
0,23,0,,2.92922722976,0.985187677955,-0.413000952001,0.0010809589378,0.0661335410733,0.15857812399,0.985128501702
0,24,0,,3.06432287645,1.0037901905,-0.42909432061,0.00128581332084,0.0665453468011,0.153477834191,0.985908016965
0,25,0,,3.19806396742,1.03647959014,-0.457646543534,0.00170961766996,0.0656178357905,0.148780627987,0.986689262924
0,26,0,,3.36664906021,1.05309679256,-0.482019044536,0.000641837644104,0.065442545923,0.142811629462,0.987583768456
0,27,0,,3.52374207474,1.07686398989,-0.500236851826,0.00191519898453,0.0641751815986,0.137969478739,0.988353328024
0,28,0,,3.69471684118,1.11981195729,-0.527113171857,0.00108404314028,0.0636117441334,0.132441405796,0.989146927857
0,29,0,,3.79642830246,1.15796585614,-0.558402265245,0.000224294585757,0.0641175115196,0.127798214879,0.989725472382
0,30,0,,3.92172670831,1.17622876128,-0.554219140037,-0.000763989792824,0.0645976007419,0.123889183591,0.990190909112
0,31,0,,4.074545724,1.18668408946,-0.581986987297,-0.000458470765046,0.0650209590314,0.118972547414,0.99076616699
0,32,0,,4.21107512509,1.21503000894,-0.610184332876,-0.000536573515799,0.0654473712888,0.114666554813,0.991245648105
0,33,0,,4.36173595903,1.23063541257,-0.620626594999,-0.000621587373591,0.0656155298819,0.110783089481,0.991676017131
0,34,0,,4.50336701513,1.23085590833,-0.646902991365,-0.000686077783056,0.066248898618,0.106557688833,0.992096805599
0,35,0,,4.64627759628,1.24613570107,-0.665720760458,-0.000789416080833,0.0658425489071,0.10218576196,0.99258360133
0,36,0,,4.78026634358,1.25759678487,-0.700163434575,-0.000900782362174,0.0664187580891,0.0983810653241,0.992929455274
0,37,0,,4.90349898566,1.24452924965,-0.698884468075,-0.00198330471199,0.0661228017013,0.0927979181503,0.993484971192
0,38,0,,5.03709605419,1.24633826595,-0.722576384275,-0.00199829333171,0.0649269319447,0.0865865719623,0.994124371438
0,39,0,,5.20573298979,1.26642014343,-0.755444846031,-0.00302857589306,0.0652090890316,0.078758763089,0.994754069945
0,40,0,,5.33708296051,1.24987513178,-0.7837702003,-0.00303826545191,0.0654493684051,0.0707034548902,0.995343242598
0,41,0,,5.46915601683,1.2464061806,-0.795774578508,-0.00342790495692,0.0653261248443,0.0617159353592,0.995947734674
0,42,0,,5.60431248324,1.23423739619,-0.824632098168,-0.00353804889926,0.0653763656506,0.0518966230679,0.996503965641
0,43,0,,5.76068605216,1.19745330534,-0.84961231857,-0.00419616371948,0.0658173745416,0.041704304565,0.996950959877
0,44,0,,5.89464315039,1.18928355832,-0.858866063722,-0.00422368180935,0.0656763412951,0.0316176129623,0.997330990823
